team,date,AB,RS,H,HR,TB,BB,SF
ANA,20030417,40,6,14,2,22,4,1
ANA,20030418,37,2,13,0,13,3,0
ANA,20030419,38,7,12,0,14,4,0
ANA,20030420,40,5,14,1,19,3,0
ANA,20030422,35,3,10,0,12,3,1
ANA,20030423,33,2,6,0,9,0,0
ANA,20030424,33,4,10,2,17,2,0
ANA,20030425,34,2,10,0,13,2,0
ANA,20030426,33,3,9,0,11,1,0
ANA,20030427,51,4,11,2,19,3,0
ANA,20030429,39,8,13,1,21,3,1
ANA,20030430,35,4,13,2,22,2,0
ANA,20030502,29,1,3,1,6,1,0
ANA,20030503,33,1,8,1,13,4,0
ANA,20030504,31,2,4,0,7,5,0
ANA,20030506,29,3,5,3,14,4,0
ANA,20030507,36,6,13,1,21,1,1
ANA,20030508,35,4,10,1,15,4,0
ANA,20030509,31,5,5,1,9,6,0
ANA,20030510,33,4,9,0,11,4,0
ANA,20030511,33,2,6,1,9,0,0
ANA,20030513,41,6,13,3,24,7,0
ANA,20030514,37,5,12,0,15,1,1
ANA,20030515,36,4,10,1,13,5,0
ANA,20030516,40,5,11,0,15,5,0
ANA,20030517,37,5,12,1,15,4,1
ANA,20030518,35,3,11,0,18,0,2
ANA,20030520,32,5,8,3,23,5,0
ANA,20030521,37,6,12,1,18,2,0
ANA,20030522,35,3,8,0,11,5,0
ANA,20030523,31,1,4,1,7,6,0
ANA,20030524,36,7,13,1,19,5,0
ANA,20030525,31,5,7,0,12,4,0
ANA,20030527,32,4,8,0,9,2,0
ANA,20030528,33,2,9,0,10,3,0
ANA,20030529,34,1,8,0,8,3,0
ANA,20030530,33,2,6,1,10,7,0
ANA,20030531,34,5,10,0,13,7,2
ANA,20030601,38,8,13,2,21,3,1
ANA,20030603,47,11,22,6,42,4,0
ANA,20030604,42,7,17,7,40,4,0
ANA,20030605,56,7,12,2,18,5,0
ANA,20030606,30,1,4,0,4,1,1
ANA,20030607,36,7,11,1,17,4,1
ANA,20030608,36,7,11,1,17,1,1
ANA,20030609,32,0,6,0,6,2,0
ANA,20030610,26,2,4,0,6,4,1
ANA,20030611,32,4,9,2,17,4,0
ANA,20030613,36,3,8,1,14,2,0
ANA,20030614,40,9,16,4,34,3,0
ANA,20030615,26,0,1,0,1,4,0
ANA,20030616,31,3,5,0,7,3,0
ANA,20030617,33,4,7,4,20,2,0
ANA,20030618,30,0,5,0,6,3,0
ANA,20030619,29,2,4,1,8,2,1
ANA,20030620,35,2,7,1,11,4,0
ANA,20030621,35,2,8,1,12,2,0
ANA,20030622,38,5,12,1,17,5,0
ANA,20030624,37,3,12,1,20,1,0
ANA,20030625,33,5,10,2,19,4,0
ANA,20030626,35,5,10,1,15,2,1
ANA,20030627,33,3,10,0,15,2,0
ANA,20030628,32,3,9,2,18,4,0
ANA,20030629,33,2,11,0,13,4,0
ANA,20030630,32,2,6,2,12,1,0
ANA,20030701,30,5,8,2,16,3,1
ANA,20030702,28,4,6,1,14,4,1
ANA,20030703,36,5,9,1,17,0,0
ANA,20030704,30,0,3,0,4,0,0
ANA,20030705,38,4,11,2,18,1,0
ANA,20030706,35,3,8,2,16,7,0
ANA,20030708,31,0,4,0,5,2,0
ANA,20030709,32,3,9,1,12,1,0
ANA,20030710,32,5,10,3,21,6,0
ANA,20030711,31,3,6,2,14,1,0
ANA,20030712,34,6,11,0,14,4,1
ANA,20030713,33,8,10,1,15,2,1
ANA,20030717,29,1,5,0,7,4,1
ANA,20030718,38,5,11,1,18,1,0
ANA,20030719,35,4,9,1,14,3,0
ANA,20030720,39,4,12,1,18,4,0
ANA,20030721,33,2,7,0,11,1,1
ANA,20030722,32,3,6,0,7,2,1
ANA,20030723,41,7,16,3,28,4,2
ANA,20030724,43,9,13,0,18,6,0
ANA,20030725,34,2,8,1,13,2,0
ANA,20030726,32,1,10,0,11,2,0
ANA,20030727,30,1,4,1,7,2,0
ANA,20030728,30,2,7,0,8,2,0
ANA,20030729,36,2,10,1,14,0,0
ANA,20030730,29,0,5,0,6,1,0
ANA,20030731,36,1,7,0,10,3,0
ANA,20030801,34,5,10,0,14,0,0
ANA,20030802,35,1,7,1,12,3,0
ANA,20030803,31,0,6,0,6,4,0
ANA,20030805,36,8,11,3,21,3,2
ANA,20030806,38,2,10,0,14,2,0
ANA,20030807,35,3,8,2,16,0,0
ANA,20030808,33,3,9,1,14,2,0
ANA,20030809,83,4,16,0,22,5,0
ANA,20030810,33,1,8,0,8,4,0
ANA,20030811,36,10,14,0,18,4,2
ANA,20030812,31,4,6,0,7,8,1
ANA,20030813,33,2,10,0,12,1,0
ANA,20030814,33,4,9,1,13,5,0
ANA,20030815,31,2,9,0,12,3,1
ANA,20030816,34,11,11,0,15,5,2
ANA,20030817,40,8,15,2,25,5,0
ANA,20030818,33,1,6,0,7,2,0
ANA,20030819,30,2,5,2,12,3,0
ANA,20030820,35,3,10,1,16,4,1
ANA,20030821,43,10,17,1,30,3,0
ANA,20030822,34,5,8,2,17,4,0
ANA,20030823,44,14,17,0,20,9,0
ANA,20030824,37,7,12,1,15,7,1
ANA,20030826,30,0,5,0,6,1,0
ANA,20030827,34,5,12,2,21,2,1
ANA,20030828,34,1,6,0,6,5,0
ANA,20030829,42,8,15,1,21,5,1
ANA,20030831,34,6,10,2,20,3,1
ANA,20030901,37,6,10,3,20,6,0
ANA,20030902,40,6,16,0,20,2,1
ANA,20030903,36,4,7,1,12,5,0
ANA,20030905,31,0,7,0,9,3,0
ANA,20030906,60,8,15,1,22,6,0
ANA,20030907,31,0,5,0,6,1,0
ANA,20030908,38,3,11,1,17,5,0
ANA,20030909,33,1,6,0,8,2,0
ANA,20030910,32,0,7,0,7,2,0
ANA,20030911,35,3,9,0,10,3,1
ANA,20030912,36,4,10,0,12,4,0
