retroID,Y,team,W,L,G,GS,IP,SO,BAA,ERA
johnr005,2004,ARI,16,14,35,35,737,290,0.19699999999999998,2.6
johnr005,2005,NYA,17,8,34,34,677,211,0.243,3.79
johnr005,2006,NYA,17,11,33,33,615,172,0.25,5.0
johnr005,2008,ARI,11,10,30,30,552,173,0.26,3.91
johnr005,2009,SFN,8,6,22,17,288,86,0.262,4.88
kennj001,2003,TBA,3,12,32,22,401,77,0.303,6.13
kennj001,2004,COL,9,7,27,27,487,117,0.265,3.66
kennj001,2005,COL,4,8,16,16,276,52,0.33399999999999996,7.04
kennj001,2007,OAK,3,9,27,16,303,42,0.284,4.37
kinnm002,2003,MIL,10,13,33,31,572,152,0.272,5.19
knotg001,2003,DET,3,8,20,18,286,51,0.28800000000000003,6.04
knotg001,2004,DET,7,6,36,19,406,81,0.267,5.25
lackj001,2003,ANA,10,16,33,33,612,151,0.278,4.63
lackj001,2004,ANA,14,13,33,32,595,144,0.278,4.67
lackj001,2005,ANA,14,5,33,33,627,199,0.258,3.44
lackj001,2006,ANA,13,11,33,33,653,190,0.24600000000000002,3.56
lackj001,2007,ANA,19,9,33,33,672,179,0.254,3.01
lackj001,2008,ANA,12,5,24,24,490,130,0.26,3.75
lackj001,2009,ANA,11,8,27,27,529,139,0.263,3.83
lackj001,2010,BOS,14,11,33,33,645,156,0.27699999999999997,4.4
lackj001,2011,BOS,12,12,28,28,480,108,0.308,6.41
lackj001,2013,BOS,10,13,29,29,568,161,0.247,3.52
lackj001,2014,BOS,11,7,21,21,412,116,0.256,3.6
lackj001,2015,SLN,13,10,33,33,654,175,0.256,2.77
lackj001,2016,CHN,11,8,29,29,565,180,0.218,3.35
lackj001,2017,CHN,12,12,31,30,512,149,0.252,4.59
lawrb001,2003,SDN,10,15,33,33,632,116,0.258,4.19
lawrb001,2004,SDN,15,14,34,34,609,121,0.287,4.12
lawrb001,2005,SDN,7,15,33,33,587,109,0.273,4.83
leita001,2003,NYN,15,9,30,30,542,139,0.26,3.99
leita001,2004,NYN,10,8,30,30,521,117,0.218,3.21
leita001,2005,MIA,3,7,17,16,240,52,0.292,6.64
lewic001,2003,TEX,10,9,26,26,381,88,0.317,7.3
lewic001,2010,TEX,12,13,32,32,603,196,0.22699999999999998,3.72
lewic001,2011,TEX,14,10,32,32,601,169,0.244,4.4
lewic001,2012,TEX,6,6,16,16,315,93,0.245,3.43
lewic001,2014,TEX,10,14,29,29,511,133,0.304,5.18
lewic001,2015,TEX,17,9,33,33,614,142,0.266,4.66
lewic001,2016,TEX,6,5,19,19,349,73,0.23600000000000002,3.71
lidlc001,2003,TOR,12,15,31,31,578,112,0.282,5.75
lidlc001,2004,CIN,7,10,24,24,447,93,0.28800000000000003,5.32
lidlc001,2005,PHI,13,11,31,31,554,121,0.289,4.53
lidlc001,2006,PHI,8,7,21,21,376,98,0.271,4.74
lillt001,2003,OAK,12,10,32,31,535,147,0.255,4.34
lillt001,2004,TOR,12,10,32,32,592,168,0.23,4.06
lillt001,2005,TOR,10,11,25,25,379,96,0.272,5.56
lillt001,2006,TOR,15,13,32,32,545,160,0.254,4.31
lillt001,2007,CHN,15,8,34,34,621,174,0.23600000000000002,3.83
lillt001,2008,CHN,17,9,34,34,614,184,0.239,4.09
lillt001,2009,CHN,12,9,27,27,531,151,0.23,3.1
lillt001,2010,CHN,3,8,18,18,351,89,0.23600000000000002,3.69
lillt001,2011,LAN,12,14,33,33,578,158,0.23800000000000002,3.97
limaj001,2003,KCA,8,3,14,14,220,32,0.28,4.91
limaj001,2004,LAN,13,5,36,24,511,93,0.271,4.07
limaj001,2005,KCA,5,16,32,32,506,80,0.314,6.99
loaie001,2003,CHA,21,9,34,34,679,207,0.233,2.9
loaie001,2004,CHA,9,5,21,21,422,83,0.28300000000000003,4.86
loaie001,2005,WAS,12,10,34,34,651,173,0.27,3.77
loaie001,2006,OAK,11,9,26,26,464,97,0.28800000000000003,4.89
lohsk001,2003,MIN,14,11,33,33,603,130,0.268,4.61
lohsk001,2004,MIN,9,13,35,34,582,111,0.305,5.34
lohsk001,2005,MIN,9,13,31,30,536,86,0.299,4.18
lohsk001,2007,CIN,6,12,21,21,395,80,0.28,4.58
lohsk001,2008,SLN,15,6,33,33,600,119,0.272,3.78
lohsk001,2009,SLN,6,10,23,22,353,77,0.26899999999999996,4.74
lohsk001,2010,SLN,4,8,18,18,276,54,0.336,6.55
lohsk001,2011,SLN,14,8,30,30,565,111,0.249,3.39
lohsk001,2012,SLN,16,3,33,33,633,143,0.239,2.86
lohsk001,2013,MIL,11,10,32,32,596,125,0.259,3.35
lohsk001,2014,MIL,13,9,31,31,595,141,0.24600000000000002,3.54
lohsk001,2015,MIL,5,13,37,22,457,108,0.297,5.85
loper001,2003,BAL,7,10,26,26,441,103,0.313,5.82
loper001,2004,BAL,14,9,37,23,512,121,0.252,3.59
loper001,2005,BAL,15,12,35,35,628,118,0.276,4.9
loper001,2006,BAL,9,18,36,29,567,136,0.302,5.9
loper001,2007,COL,5,4,14,14,238,43,0.273,4.42
loper001,2010,ARI,7,16,33,33,600,116,0.28600000000000003,5.0
loper001,2011,CHN,6,6,26,16,293,54,0.299,4.42
lowed001,2003,BOS,17,7,33,33,610,110,0.272,4.47
lowed001,2004,BOS,14,12,33,33,548,105,0.299,5.42
lowed001,2005,LAN,12,15,35,35,666,146,0.26,3.61
lowed001,2006,LAN,16,8,35,34,654,123,0.262,3.63
lowed001,2007,LAN,12,14,33,32,598,147,0.254,3.88
lowed001,2008,LAN,14,11,34,34,633,147,0.24600000000000002,3.24
lowed001,2009,ATL,15,10,34,34,584,111,0.301,4.67
lowed001,2010,ATL,16,12,33,33,581,136,0.273,4.0
lowed001,2011,ATL,9,17,34,34,561,137,0.285,5.05
lowed001,2012,CLE,8,10,21,21,357,41,0.321,5.52
maddg002,2003,ATL,16,11,36,36,655,124,0.268,3.96
maddg002,2004,CHN,16,11,33,33,638,151,0.26899999999999996,4.02
maddg002,2005,CHN,13,15,35,35,675,136,0.275,4.24
maddg002,2006,CHN,9,11,22,22,409,81,0.284,4.69
maddg002,2007,SDN,14,11,34,34,594,104,0.285,4.14
maddg002,2008,SDN,6,9,26,26,460,80,0.271,3.99
marom001,2003,DET,9,21,33,33,580,87,0.299,5.73
marom001,2004,DET,11,13,33,33,651,108,0.28800000000000003,4.31
marom001,2005,DET,14,14,34,34,627,115,0.28800000000000003,4.74
marom001,2007,DET,5,2,13,13,235,28,0.319,5.06
martp001,2003,BOS,14,4,29,29,560,206,0.215,2.22
martp001,2004,BOS,16,9,33,33,651,227,0.23800000000000002,3.9
martp001,2005,NYN,15,8,31,31,651,208,0.204,2.82
martp001,2006,NYN,9,8,23,23,398,137,0.22,4.48
martp001,2008,NYN,5,6,20,20,327,87,0.294,5.61
may-d002,2003,KCA,10,8,35,32,630,115,0.24600000000000002,3.77
may-d002,2004,KCA,9,19,31,31,558,120,0.306,5.61
maysj001,2003,MIN,8,8,31,21,390,50,0.302,6.3
maysj001,2005,MIN,6,10,31,26,468,59,0.318,5.65
mechg001,2003,SEA,15,13,32,32,559,130,0.263,4.59
mechg001,2004,SEA,7,7,23,23,383,99,0.273,5.01
mechg001,2005,SEA,10,8,29,26,430,83,0.275,5.09
mechg001,2006,SEA,11,8,32,32,560,156,0.256,4.48
mechg001,2007,KCA,9,13,34,34,648,156,0.263,3.67
mechg001,2008,KCA,14,11,34,34,631,183,0.255,3.98
mechg001,2009,KCA,6,10,23,23,387,95,0.281,5.09
millw001,2003,HOU,14,13,33,33,562,161,0.242,4.13
millw001,2004,HOU,7,7,15,15,266,74,0.228,3.35
millw001,2005,BOS,4,4,16,16,273,64,0.267,4.95
millk004,2003,PHI,14,12,35,35,666,169,0.25,4.01
millk004,2004,PHI,9,6,25,25,423,125,0.278,4.85
millk004,2005,CLE,9,11,30,30,576,146,0.248,2.86
millk004,2006,TEX,16,12,34,34,645,157,0.272,4.52
millk004,2007,TEX,10,14,31,31,518,123,0.301,5.16
millk004,2008,TEX,9,10,29,29,506,125,0.312,5.07
millk004,2009,TEX,13,10,31,31,596,123,0.257,3.67
millk004,2010,BAL,4,16,31,31,572,132,0.292,5.1
millk004,2012,SEA,6,12,28,28,483,107,0.271,4.25
morrm001,2003,SLN,11,8,27,27,517,120,0.252,3.76
morrm001,2004,SLN,15,10,32,32,606,131,0.266,4.72
morrm001,2005,SLN,14,10,31,31,578,117,0.276,4.11
morrm001,2006,SFN,10,15,33,33,623,117,0.268,4.98
morrm001,2007,SFN,7,7,21,21,410,73,0.29600000000000004,4.35
mossd001,2003,SFN,9,7,21,20,345,57,0.273,4.7
moyej001,2003,SEA,21,7,33,33,645,129,0.24600000000000002,3.27
moyej001,2004,SEA,7,13,34,33,606,125,0.272,5.21
